Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,364,14723,23011,11069,25834,17048,10258
,,,,,,,,365,13696,21424,11088,24992,17177,10424
,,,,,,,,366,12291,19635,10902,23238,17449,9943
,,,,,,,,367,10627,17435,10581,21777,17447,9819
,,,,,,,,368,9617,16176,10524,21054,17374,9700
,,,,,,,,369,8720,14940,10454,20387,17720,9816
,,,,,,,,370,8741,15106,10533,20097,17975,9769
,,,,,,,,371,9033,15592,10564,20049,18180,9846
,,,,,,,,372,9771,16741,10780,20224,18272,9865
,,,,,,,,373,10579,17944,10887,20456,18490,10061
,,,,,,,,374,11991,20044,11150,21171,18618,10665
,,,,,,,,375,13978,22950,11504,21660,19270,10686
,,,,,,,,376,15581,25066,11471,22072,19867,10551
,,,,,,,,377,16637,26188,11277,22158,19962,10649
,,,,,,,,378,16601,25971,11339,23340,20565,10784
,,,,,,,,379,17274,27024,11693,24658,21246,11007
,,,,,,,,380,17619,27564,11939,25519,21665,11289
,,,,,,,,381,18310,28644,12061,26104,21914,11224
,,,,,,,,382,18326,28670,11859,26435,21656,10913
,,,,,,,,383,17758,27781,11715,26981,20988,10595
,,,,,,,,384,17162,26849,11750,27252,20246,10383
,,,,,,,,385,17143,26820,11782,27665,19622,10401
,,,,,,,,386,16863,26381,11557,27061,18581,10161
,,,,,,,,387,15723,24598,11244,26311,17474,9856
,,,,,,,,388,14775,23100,10952,25479,16930,9776
,,,,,,,,389,13764,21508,10899,24610,17063,9877
,,,,,,,,390,12136,19306,10770,22756,17224,9444
,,,,,,,,391,10353,16921,10365,21403,17200,9106
,,,,,,,,392,9436,15777,10433,20885,17427,9218
,,,,,,,,393,8772,14929,10536,20755,17734,9282
,,,,,,,,394,8770,15041,10602,20402,17882,9472
,,,,,,,,395,8952,15343,10630,20404,18018,9614
,,,,,,,,396,9573,16295,10722,20514,18053,9836
,,,,,,,,397,10411,17567,10880,20729,18391,10181
,,,,,,,,398,11821,19666,11156,21513,18567,10982
,,,,,,,,399,13832,22608,11521,22061,19230,11195
,,,,,,,,400,15357,24656,11505,22308,19679,11320
,,,,,,,,401,16358,25679,11331,22316,19986,11443
,,,,,,,,402,16299,25499,11402,23423,20532,11602
,,,,,,,,403,16814,26305,11658,24503,21091,11715
,,,,,,,,404,17003,26600,11926,25503,21439,11907
,,,,,,,,405,17684,27666,12044,26183,21725,11785
,,,,,,,,406,17713,27711,11744,26263,21528,11395
,,,,,,,,407,17153,26835,11573,26503,20779,11142
,,,,,,,,408,16625,26009,11594,27054,20137,11154
,,,,,,,,409,16461,25753,11593,27205,19491,11086
,,,,,,,,410,16207,25356,11375,26416,18582,10731
,,,,,,,,411,15157,23712,11021,25688,17507,10326
,,,,,,,,412,14279,22304,10798,24896,16967,10211
,,,,,,,,413,13279,20712,10789,24086,17092,10260
,,,,,,,,414,11667,18531,10614,22473,17294,9705
,,,,,,,,415,9993,16270,10173,20884,17181,9482
,,,,,,,,416,9032,15035,10135,19596,17299,9447
,,,,,,,,417,8250,14022,10222,19196,17651,9518
,,,,,,,,418,8086,13837,10315,18613,17828,9673
,,,,,,,,419,8134,13939,10385,18525,17887,9960
,,,,,,,,420,8747,14939,10619,18492,18068,10310
,,,,,,,,421,9558,16168,10828,18785,18288,10781
,,,,,,,,422,10940,18240,11094,19533,18428,11557
,,,,,,,,423,12946,21208,11407,20379,19105,11758
,,,,,,,,424,14550,23389,11366,20619,19540,11751
,,,,,,,,425,15541,24400,11116,20355,19765,11595
,,,,,,,,426,15503,24253,11330,21569,20454,11562
,,,,,,,,427,16002,25035,11510,22575,21163,11508
,,,,,,,,428,16167,25292,11767,23426,21647,11551
,,,,,,,,429,16840,26346,11846,23720,22008,11388
,,,,,,,,430,16900,26439,11628,23761,21902,11013
,,,,,,,,431,16394,25647,11389,23868,21209,10728
,,,,,,,,432,15882,24846,11378,24388,20573,10772
,,,,,,,,433,15546,24321,11413,24571,20042,10706
,,,,,,,,434,15215,23803,11297,24416,18835,10308
,,,,,,,,435,14212,22234,10964,23811,17714,9918
,,,,,,,,436,13477,21057,10714,23518,17166,9765
,,,,,,,,437,12569,19599,10702,22997,17269,9865
,,,,,,,,438,11088,17573,10568,21541,17356,9393
