Time_Index,None,pacific_naturalgas,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs90,pacific_naturalgas_ccs100,rockies_naturalgas_ccs90,rockies_naturalgas_ccs100
204,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
205,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
206,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
207,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
208,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
209,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
210,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
211,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
212,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
213,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
214,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
215,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
216,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
217,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
218,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
219,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
220,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
221,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
222,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
223,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
224,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
225,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
226,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
227,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
228,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
229,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
230,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
231,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
232,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
233,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
234,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
235,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
236,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
237,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
238,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
239,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
240,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
241,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
242,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
243,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
244,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
245,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
246,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
247,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
248,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
249,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
250,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
251,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
252,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
253,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
254,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
255,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
256,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
257,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
258,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
259,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
260,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
261,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
262,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
263,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
264,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
265,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
266,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
267,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
268,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
269,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
270,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
271,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
272,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
273,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
274,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
275,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
276,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
277,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
278,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
279,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
280,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
281,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
282,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
283,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
284,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
285,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
286,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
287,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
288,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
289,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
290,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
291,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
292,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
293,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
